<details> <summary> <b>luci-app-bandix new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
e9ab4a1|timsaya|Mon Jan 12 19:37:28 2026 +0800|Merge pull request #118 from timsaya/dev
4e503b7|stefanlei|Mon Jan 12 19:34:48 2026 +0800|Merge branch 'main' into dev
6d06735|stefanlei|Mon Jan 12 19:22:08 2026 +0800|Version 0.12.0: Add push URL settings and fix version comparison
25896a3|stefanlei|Mon Jan 12 12:51:21 2026 +0800|Refactor device status API to use timestamp range instead of period
fbab69d|stefanlei|Mon Jan 12 00:24:49 2026 +0800|feat: add connection type display in device list
a0dc91b|stefanlei|Sun Jan 11 18:23:22 2026 +0800|feat: show all devices in Traffic Timeline dropdown
7fe3f68|stefanlei|Sun Jan 11 16:24:25 2026 +0800|refactor: replace radio buttons with select dropdowns for device filters
27f6cb4|stefanlei|Sun Jan 11 15:47:06 2026 +0800|feat: add device list period filter with multi-language support
536f001|stefanlei|Sun Jan 11 15:25:31 2026 +0800|style: improve device mode controls and tooltip translations
9c3420b|stefanlei|Sun Jan 11 14:35:26 2026 +0800|feat: enhance traffic timeline UI and tooltip
0cb5c61|stefanlei|Sun Jan 11 12:51:17 2026 +0800|feat: enhance chart interactions with vertical dashed lines
c002518|stefanlei|Sun Jan 11 12:18:51 2026 +0800|feat: add network type filtering to traffic usage APIs
575c5d9|timsaya|Fri Jan 9 16:04:01 2026 +0800|Merge pull request #115 from fantastic-packages/dev
101d90b|Anya Lin|Thu Jan 8 21:14:32 2026 +0800|Fix get_version and clean up redundant code
9d1ec66|stefanlei|Wed Jan 7 15:23:34 2026 +0800|feat: enhance UI and API functionality
</details>
