<details> <summary> <b>luci-app-ghfu new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/smallprogram/luci-app-ghfu/compare/8a4b128655b1d11bacb208d961b29228c772ca21...5b6d7c57befae55935e55bfa6ce764221390f241)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
5b6d7c5|David Mandy|Wed May 13 22:41:21 2026 +0800|LuCI: bump version to 1.3.1
61f29f1|David Mandy|Wed May 13 21:57:37 2026 +0800|LuCI: bump version to 1.3.0
f244ca5|David Mandy|Wed May 13 20:05:17 2026 +0800|update readme
a08b476|David Mandy|Wed May 13 20:02:11 2026 +0800|LuCI: bump version to 1.2.1
83216db|David Mandy|Wed May 13 19:31:16 2026 +0800|Comment out APK installation section in README
7ace4cb|David Mandy|Wed May 13 19:01:06 2026 +0800|Fix URL formatting in README for feeds compilation
2f9fb99|David Mandy|Wed May 13 01:42:47 2026 +0800|Revise README for improved structure and content
ae96d37|David Mandy|Tue May 12 20:31:43 2026 +0800|LuCI: add version to page
cda2015|David Mandy|Tue May 12 19:51:41 2026 +0800|LuCI: bump version to 1.2.0
defe5fe|David Mandy|Tue May 12 13:26:15 2026 +0800|Revise APK installation and add feeds compilation section
430bc1a|David Mandy|Tue May 12 13:22:49 2026 +0800|Update README with installation commands and description
</details>
