<details> <summary> <b>openwrt-passwall2 new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/Openwrt-Passwall/openwrt-passwall2/compare/88338feea64049cb3e0c0ebe1739f8f95cbf15ad...9ee2b2b7d31b4a9193e6615b83e1ca93a395676e)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
9ee2b2b|handsomeji|Wed Sep 16 22:56:49 2026 +0800|luci: bump to 26.9.16
db18028|handsomeji|Wed Sep 16 00:55:41 2026 +0800|luci: update socks switch logic
982be25|handsomeji|Wed Sep 16 01:29:08 2026 +0800|luci: adjust nftables DNS redirect
4d8cfda|SwordKing|Tue Sep 15 21:38:33 2026 +0800|luci: optimize component executable path settings
08a01d2|lwb1978|Mon Sep 14 14:56:15 2026 +0800|luci: optimize NTP time adjustment handling
3297f4e|lwb1978|Mon Sep 14 14:52:09 2026 +0800|luci: set minimum Xray version to 26.7.11
2f9cb82|handsomeji|Tue Sep 15 11:53:37 2026 +0800|luci: optimize
cdab47a|handsomeji|Sat Sep 12 17:06:58 2026 +0800|luci: adjust default acl flag
47cc9e0|yiyuanlu|Sun Sep 13 10:39:33 2026 +0800|luci: restrict iptables DIVERT hooks to transparent sockets
2a459c9|handsomeji|Sun Sep 13 14:43:46 2026 +0800|luci: optimize #1286
21fdcf8|handsomeji|Sat Sep 12 17:06:58 2026 +0800|luci: improvement and optimization
10f20ae|handsomeji|Sat Sep 12 17:26:21 2026 +0800|luci: bump to 26.9.12
a8b582f|A-BO|Sat Sep 12 17:07:06 2026 +0800|luci: update sing-box hysteria configuration fields
7ff6048|A-BO|Sat Sep 12 16:54:47 2026 +0800|luci: fix tls configuration for http protocol
3ba4744|handsomeji|Sat Sep 12 15:32:17 2026 +0800|luci: fix #1282
</details>
