<details> <summary> <b>immortalwrt new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/immortalwrt/immortalwrt/compare/2fee31cb47dc2e2078cc7d962bcd21b49b6227db...53566decfc6b29973dfe9a2d0b9daacfc143f4c5)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
53566decfc|Tianling Shen|Mon Jul 6 10:13:55 2026 +0800|ImmortalWrt v25.12.1: revert to branch defaults
a3378d1a2c|Tianling Shen|Mon Jul 6 10:13:55 2026 +0800|ImmortalWrt v25.12.1: adjust config defaults
cd0a06bfd3|Tianling Shen|Thu Jul 2 09:40:04 2026 +0800|Merge Official Source
949e61ec65|Hauke Mehrtens|Wed Jul 1 23:10:44 2026 +0200|odhcp6c: Increase PKG_RELEASE
df8a0c1654|Hauke Mehrtens|Wed Jul 1 23:08:05 2026 +0200|ead: Increase PKG_RELEASE
863c6159a2|Grische|Wed Jun 17 14:09:18 2026 +0200|rockchip: add support for FriendlyARM NanoPi R2S Plus
826a01ef39|Mikhail Zhilkin|Mon Feb 9 22:27:10 2026 +0300|qualcommax: ipq50xx: add support for CMCC MR3000D-CI
c8ee844d60|Fil Dunsky|Fri Jun 5 17:53:45 2026 +0300|mediatek: add support Livinet Li320
bb9df8541c|Hauke Mehrtens|Tue Jun 30 00:03:59 2026 +0200|OpenWrt v25.12.5: revert to branch defaults
f0a60eee2f|Hauke Mehrtens|Tue Jun 30 00:03:42 2026 +0200|OpenWrt v25.12.5: adjust config defaults
f5dae5ece4|Dimitri Souza|Fri Jun 26 19:59:43 2026 -0300|mediatek: acer-predator-w6x: add LED boot status support
481e0a16f4|Shine|Mon Jun 29 09:23:45 2026 +0200|scripts: dhcpv6: don't report custom ip6class if default
</details>
