<details> <summary> <b>luci new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/immortalwrt/luci/compare/cb5d4346bed1d12bf64087e672456360f1600db9...d6167ea0645cbd1327708d85f94824f42d0eb872)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
d6167ea064|Tianling Shen|Sun Sep 6 15:54:19 2026 +0800|Merge Official Source
4fd72fddca|Hannu Nyman|Thu Sep 3 22:39:15 2026 +0300|treewide: backport translations and sync
198fb29174|Ivan Kvashonkin|Thu Sep 3 22:33:11 2026 +0300|luci-theme-footstrap: drop the exports nothing in the tree calls
4bda8af8f7|Ivan Kvashonkin|Thu Sep 3 22:33:01 2026 +0300|luci-theme-footstrap: put the settings tab back after a map redraw
7b77b1a909|Ivan Kvashonkin|Thu Sep 3 22:32:50 2026 +0300|luci-theme-footstrap: fix the login page heading and the graph labels
4c9e25d984|Ivan Kvashonkin|Thu Sep 3 22:32:40 2026 +0300|luci-theme-footstrap: fix spacing and hiding on luci-base classes
17b3c7daab|Ivan Kvashonkin|Thu Sep 3 22:32:21 2026 +0300|luci-theme-footstrap: keep the reader's place across a poll
3ca5e6cefe|Ivan Kvashonkin|Thu Sep 3 22:32:10 2026 +0300|luci-theme-footstrap: pack the port status cards into their row
df02d275f0|Ivan Kvashonkin|Thu Sep 3 22:31:59 2026 +0300|luci-theme-footstrap: add the OpenWrt 2020 colourway as a palette
cb149be606|Ivan Kvashonkin|Thu Sep 3 22:31:20 2026 +0300|luci-theme-footstrap: simplify uci-defaults
316b105d10|Ivan Kvashonkin|Thu Sep 3 22:30:54 2026 +0300|luci-theme-footstrap: add new theme
0b3572a17c|Tianling Shen|Thu Sep 3 16:30:29 2026 +0800|Merge Official Source
1742cebfca|Aethersailor|Tue Aug 25 12:17:49 2026 +0800|luci-app-openclash: update to 0.47.156
bf89aa62a9|Tianling Shen|Mon Jun 29 18:28:58 2026 +0800|luci-app-openclash: Update to 0.47.110
9baefa5ead|Interesting Gang|Wed Aug 26 16:29:50 2026 +0800|luci-app-passwall: bump to 26.9.1


</details>
