<details> <summary> <b>routing new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/openwrt/routing/compare/e49d76035aafb85ddc993b59271d8c7ba56b5362...cc66db23430a923df3fe7941a097c5fd4040087b)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
cc66db2|Josef Schlehofer|Thu Aug 6 14:31:29 2026 +0200|babeld: initialize metric in the ubus add_filter handler
77d03c4|Josef Schlehofer|Thu Aug 6 09:47:44 2026 +0200|babeld: simplify LDLIBS in MAKE_FLAGS
97d1d3c|Josef Schlehofer|Tue Aug 11 13:10:50 2026 +0200|opennds: use the upstream spelling in the URL
498d4f4|Josef Schlehofer|Tue Aug 11 13:10:50 2026 +0200|nodogsplash: fix config generation in the init script
6e27196|Josef Schlehofer|Tue Aug 11 13:10:27 2026 +0200|mesh11sd: fix slow response to the informational options
83f2caa|Josef Schlehofer|Thu Aug 6 09:33:10 2026 +0200|cjdns: add test-version.sh for CI runtime tests
b9f2478|Josef Schlehofer|Thu Aug 6 09:59:21 2026 +0200|cjdns: mark as broken on riscv64
bf071b7|Josef Schlehofer|Thu Aug 6 09:32:36 2026 +0200|cjdns: fix version reporting of binaries
778b3c8|Josef Schlehofer|Thu Aug 6 09:59:20 2026 +0200|cjdns: indent package metadata with two spaces
</details>
