<details> <summary> <b>openwrt new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
136890c67|coolsnowwolf|Wed Sep 11 23:08:24 2024 +0800|Update README.md for macOS
2c01ece84|coolsnowwolf|Fri Sep 13 08:11:24 2024 +0800|Update README.md for macOS
d46d3adec|coolsnowwolf|Fri Sep 13 01:02:10 2024 +0800|uboot-rockchip: fix Fine 3399 uboot arm-trusted-firmware build
a0fed43d9|coolsnowwolf|Fri Sep 13 00:29:54 2024 +0800|procd: use standard POSIX header for basename()
205cf4326|coolsnowwolf|Fri Sep 13 00:24:57 2024 +0800|bpftools: update, split off bpftool and libbpf packages
49910e1e4|aiamadeus|Sat Aug 24 23:06:15 2024 +0800|generic: refresh kernel 6.6 patches
82ffc84e2|coolsnowwolf|Thu Sep 12 22:56:53 2024 +0800|toolchain/musl: Update to 1.2.5
548c46921|coolsnowwolf|Thu Sep 12 22:51:56 2024 +0800|elfutils: update to 1.91
3eedade61|coolsnowwolf|Thu Sep 12 22:42:38 2024 +0800|toolchain/gcc: switch to version 12 by default
530265022|John Audia|Sun Sep 8 03:30:39 2024 -0400|kernel: bump 6.6 to 6.6.50 (#16351)
c9c95be31|coolsnowwolf|Mon Aug 19 23:16:20 2024 +0800|uboot-rockchip: update rkbin dependencies
95c79b703|coolsnowwolf|Sun Aug 18 23:05:39 2024 +0800|atf-rockchip: add support for rk3568/rk3588
9fcac0612|aiamadeus|Wed Aug 21 23:35:21 2024 +0800|rockchip: rk-rng: simplify with dev_err_probe
eb08cc889|aiamadeus|Tue Aug 20 23:26:39 2024 +0800|rockchip: improve some rk3528 devices support
0c35082a1|Zheng Zhang|Sat Aug 10 19:52:15 2024 +0800|mediatek: fix wed use-after-free kernel panic
cceaa09ba|coolsnowwolf|Mon Sep 9 02:12:18 2024 +0800|Version update to R24.9.9
613d282e4|coolsnowwolf|Mon Sep 9 02:06:16 2024 +0800|kernel: bump 6.6 to 6.6.50
db4464fa1|coolsnowwolf|Mon Sep 9 01:45:48 2024 +0800|rockchip: add RUMU3F Fine 3399 (RK3399) support
83273215e|Álvaro Fernández Rojas|Mon Aug 19 17:55:00 2024 +0200|generic: 6.6: backport upstream r8169 patches
