<details> <summary> <b>luci new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/coolsnowwolf/luci/compare/8b0019c73a3840ba7112ddb8163efffbb3972dd1...0fb07d4de6db4bae39cd5c6c399dec0f0dde3cc6)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
0fb07d4de6|coolsnowwolf|Wed Sep 16 12:29:43 2026 +0800|luci-app-wol: fix wake command execution
f7dc02269a|coolsnowwolf|Tue Sep 15 02:29:08 2026 +0800|luci-mod-status: fix mtwifi channel scans and prevent overlapping scans
5cfaf67fed|coolsnowwolf|Tue Sep 15 02:08:07 2026 +0800|luci: add client hostname discovery and connection counts
6211a8f063|coolsnowwolf|Tue Sep 15 01:32:16 2026 +0800|luci-mod-status: ignore failed ARP entries for client online status
862c90548d|coolsnowwolf|Mon Sep 14 17:40:38 2026 +0800|luci-app-oui: prefer fnOS icon for hosts with NAS web ports
edf9a7f6ef|coolsnowwolf|Mon Sep 14 15:01:25 2026 +0800|luci: rename client overview and add VMware vendor icons
f4efc0d37c|coolsnowwolf|Mon Sep 14 14:50:49 2026 +0800|luci-app-oui: add GIGABYTE vendor detection and icon
348b9af486|coolsnowwolf|Mon Sep 14 14:39:48 2026 +0800|luci-mod-status: unify and retain LAN clients for each boot
bec0d5094d|coolsnowwolf|Mon Sep 14 12:20:50 2026 +0800|luci-mod-network: restore MT798x wireless runtime status
725ddc051f|coolsnowwolf|Mon Sep 14 02:35:43 2026 +0800|luci-mod-status: link DHCP clients to cached web services
19cb1097e0|coolsnowwolf|Mon Sep 14 02:02:23 2026 +0800|luci-mod-status: simplify overview memory statistics
086d8c870d|coolsnowwolf|Mon Sep 14 01:58:34 2026 +0800|luci-mod-status: sort DHCP clients by total traffic by default
22f66d0d92|coolsnowwolf|Mon Sep 14 01:51:17 2026 +0800|luci-mod-status: show boot-session client traffic totals
ba93b09113|coolsnowwolf|Mon Sep 14 01:33:07 2026 +0800|luci-mod-status: show aggregate WAN bandwidth progress bars
45ca7a8d7a|coolsnowwolf|Mon Sep 14 01:06:42 2026 +0800|luci-mod-admin-full: include OUI vendor icons by default


</details>
