<details> <summary> <b>luci-app-mosdns New Git Log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
a073a03|Bard|Sat Dec 16 18:34:24 2023 +0800|ci: use automatic token authentication
5836557|sbwml|Sun Nov 19 15:57:52 2023 +0800|luci-app-mosdns: init.d: set default working path
ed09f89|Bard|Wed Nov 15 22:28:55 2023 +0800|luci-app-mosdns: mosdns.sh: fix execution sequence
e79a991|sbwml|Tue Nov 7 13:15:56 2023 +0800|luci-app-mosdns: add optional `prefer_ipv4` for remote dns
ce08474|sbwml|Mon Nov 6 12:56:10 2023 +0800|mosdns: bump to 5.3.1
74d15c2|sbwml|Sun Nov 5 19:59:29 2023 +0800|luci-app-mosdns: add github proxy settings support for data updates
7509532|sbwml|Sat Nov 4 18:41:00 2023 +0800|luci-app-mosdns: drop ip mask for ecs plugin
b42fc88|sbwml|Wed Nov 1 23:25:33 2023 +0800|luci-app-mosdns: update for 5.3.0
3ef6a85|sbwml|Wed Nov 1 23:02:29 2023 +0800|mosdns: bump to 5.3.0
cea09d4|sbwml|Mon Oct 23 16:41:56 2023 +0800|luci-app-mosdns: bump version
</details>
