<details> <summary> <b>luci-theme-argon New Git Log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
cbad1c9|SpeedPartner|Sat Sep 2 19:23:06 2023 +0800|修复 移动端页面 下 [IPv4 WAN 状态] 和 [IPv6 WAN 状态] 显示布局未对齐
4543246|SpeedPartner|Sun Aug 20 22:20:57 2023 +0800|改进:为 登录页面[sysauth] 中 主机名[brand-text] 增加1px的 字间距[letter-spacing]; 并将文本的 底部内间距[padding-bottom] 增加0.1rem,以避免小写字母y和g显示不全
31459ac|SpeedPartner|Sun Aug 20 22:11:06 2023 +0800|Merge pull request #436 from yhl452493373/18.06
43cbe43|SpeedPartner|Sun Aug 20 22:08:30 2023 +0800|精简&统一代码格式
86da322|杨黄林|Sun Aug 20 17:36:19 2023 +0800|Update cascade.less
5abeff5|杨黄林|Sun Aug 20 17:33:46 2023 +0800|Update cascade.css
d7cdcef|杨黄林|Sun Aug 20 17:30:49 2023 +0800|Merge branch 'jerrykuku:18.06' into 18.06
3af71a4|SpeedPartner|Wed Aug 2 22:46:20 2023 +0800|Update README_ZH.md
f583d18|SpeedPartner|Wed Aug 2 22:46:16 2023 +0800|Update README.md
db6e1cd|杨黄林|Tue Jun 27 12:28:40 2023 +0800|Update manual_release.yml
</details>
