<details> <summary> <b>Lean Luci New Git Log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
f3fe5b5|coolsnowwolf|Tue Dec 26 23:19:37 2023 +0800|luci-app-cpufreq: add qualcommax support
5071ebf|coolsnowwolf|Tue Jun 13 23:19:37 2023 +0800|Revert "wifi: unify signal view"
3e8eb4a|coolsnowwolf|Tue Dec 12 20:41:42 2023 +0800|luci-theme-design: fix ios 17 view sign
e32bc26|coolsnowwolf|Tue Dec 12 12:17:55 2023 +0800|luci-app-qbittorrent: rename from luci-app-qbittorrent-simple
dc06d37|coolsnowwolf|Thu Dec 7 01:58:24 2023 +0800|wifi: add Disassociate On Low Acknowledgement option
b8ad282|coolsnowwolf|Thu Dec 7 01:32:35 2023 +0800|wifi: add Beacon Interval option
4d283c1|coolsnowwolf|Thu Dec 7 00:42:27 2023 +0800|luci-newapi: add mt_dbdc WPA3 support
5dc79a5|coolsnowwolf|Fri Nov 24 22:05:39 2023 +0800|luci-app-cpufreq: fix rk35xx support
b9b022c|coolsnowwolf|Fri Nov 24 18:29:25 2023 +0800|luci-app-cpufreq: add rk35xx support
</details>
