<details> <summary> <b>Passwall Packages New Git Log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
e466b5e|github-actions[bot]|Mon Jan 8 12:24:00 2024 +0800|xray-plugin: update to 1.8.7 (#98)
4e66736|github-actions[bot]|Mon Jan 8 08:53:45 2024 +0800|xray-core: update to 1.8.7 (#97)
4dc84e5|github-actions[bot]|Sat Jan 6 11:12:37 2024 +0800|sing-box: update to 1.8.0 (#95)
4891edc|Gzxhwq|Wed Jan 3 20:58:34 2024 +0800|sing-box: update to 1.7.8 (#94)
4539cee|github-actions[bot]|Sat Dec 30 12:20:32 2023 +0800|hysteria: update to 2.2.3 (#92)
86fc3f8|github-actions[bot]|Sat Dec 30 12:20:20 2023 +0800|sing-box: update to 1.7.7 (#91)
47d3aac|Gzxhwq|Fri Dec 22 11:05:13 2023 +0800|sing-box: update to 1.7.6 (#88)
ea52099|github-actions[bot]|Tue Dec 12 14:49:02 2023 +0800|sing-box: update to 1.7.5 (#87)
ea10853|github-actions[bot]|Tue Dec 12 14:48:06 2023 +0800|v2ray-plugin: update to 5.13.0 (#86)
ee0f6c4|github-actions[bot]|Tue Dec 12 14:47:54 2023 +0800|v2ray-core: update to 5.13.0 (#85)
bb4e27c|Beginner|Sat Dec 9 10:21:46 2023 +0800|sing-box: update to 1.7.4 (#84)
a857356|Gzxhwq|Fri Dec 8 21:59:26 2023 +0800|sing-box: update to 1.7.3 (#83)
cfcf851|Gzxhwq|Mon Dec 4 13:54:27 2023 +0800|sing-box: update to 1.7.2 (#82)
7cea845|Gzxhwq|Sat Dec 2 11:03:19 2023 +0800|sing-box: update to 1.7.1 (#80)
63d2947|Gzxhwq|Thu Nov 30 11:16:41 2023 +0800|sing-box: update to 1.7.0 (#79)
5c060e2|Gzxhwq|Tue Nov 28 13:13:47 2023 +0800|sing-box: update to 1.6.7 (#76)
1f81653|Beginner|Tue Nov 28 13:13:32 2023 +0800|shadowsocks-rust: update to 1.17.1 (#75)
</details>
