<details> <summary> <b>passwall new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
51c8782|xiaorouji|Sat Jan 13 15:31:57 2024 +0800|luci: fix hysteria(2) subscribe
3dab428|lllrrr2|Wed Jan 10 10:32:35 2024 +0800|luci: default config clean up spaces (#2892)
6d9c4dc|zhusir|Tue Jan 9 15:34:06 2024 +0800|luci: update default config
9c7039e|xiaorouji|Tue Jan 9 03:06:02 2024 +0800|luci: 4.72
4568d3f|xiaorouji|Tue Jan 9 02:59:41 2024 +0800|luci: update default config
fe22a98|xiaorouji|Tue Jan 9 02:52:51 2024 +0800|luci: update and fix the subscribe module
52ae62f|xiaorouji|Sat Nov 25 02:12:35 2023 +0800|luci: shunt rule add `inboundTag` option
b6a34d1|xiaorouji|Thu Nov 23 02:35:19 2023 +0800|luci: add `remove sing-box resource files` button
2abf169|xiaorouji|Thu Nov 23 02:06:23 2023 +0800|luci: socks config can choose all node
2b04ecb|xiaorouji|Wed Nov 22 19:56:06 2023 +0800|luci: shunt rule add some option
</details>
