<details> <summary> <b>passwall2 new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
118413e|xiaorouji|Thu Apr 11 23:30:37 2024 +0800|luci: bump version
3a816f2|xiaorouji|Fri Apr 12 00:11:10 2024 +0800|luci: fix #553
c0ae839|xiaorouji|Thu Apr 11 23:29:57 2024 +0800|luci: shunt rules support with `#` as a annotation line
d6a5455|Bard|Wed Apr 10 15:23:22 2024 +0800|luci: hotplug.d: output restart log as syslog
b41ee6e|xiaorouji|Mon Apr 8 01:35:54 2024 +0800|luci: optimize and improve
ef9cb4a|Tianhe Y|Fri Apr 5 01:10:05 2024 +0800|luci: xray shunt optimization & bug fixes
cb8e177|Tianhe Y|Tue Apr 2 20:41:20 2024 +0800|luci: optimize xray balancer
e7c7667|Tianhe Y|Sun Mar 31 22:00:13 2024 +0800|luci: xray balancer add fallback support
</details>
