<details> <summary> <b>packages new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/openwrt/packages/compare/2f6bf10ac19a65d77a6973cd11a3ae0450ef6a3c...32dd807af85e709fb0965aae58be9f50f8bef412)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
32dd807af|Dirk Brenken|Fri Sep 25 23:11:19 2026 +0200|banip: update 1.9.0-2
4887ba99a|Josef Schlehofer|Mon Sep 21 19:40:14 2026 +0200|librespeed: fix the kconfig recursion between common and the clients
8cf7cb510|Josef Schlehofer|Sun Aug 16 12:40:23 2026 +0200|librespeed-common: add measurement backend
7f0f2d43a|Stijn Tintel|Thu Jan 15 20:10:10 2026 +0200|kea: create /var/lib/kea directory in init script
1137f24e4|Stijn Tintel|Thu Jan 15 20:03:16 2026 +0200|kea: fix /var/run/kea permissions
0ad9a3fc1|Josef Schlehofer|Wed Sep 23 00:45:56 2026 +0200|tvheadend: handle DVB device nodes on dvb hotplug events
6bdd3fd03|Michael Pfeifroth|Tue Sep 22 10:44:22 2026 +0200|modemmanager: suppress hotplug log noise
f5ce9895f|Peter Polonec|Sun Sep 20 07:07:58 2026 +0200|php8-pecl-http: disable TLS-SRP detection
d8488f46b|Peter Polonec|Thu Sep 3 17:15:55 2026 +0200|curl: update to 8.22.0
1672d664b|Florian Eckert|Wed Jun 24 17:00:01 2026 +0200|curl: add krb5 support
acecdebae|Tyrel M. McQueen|Sun Sep 20 08:36:05 2026 -0400|unbound: update to 1.26.1
8688f24f3|Josef Schlehofer|Mon Sep 21 17:20:28 2026 +0200|librespeed-cli-rust: update to version 1.2.0
</details>
