<details> <summary> <b>package new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
16f183d9|coolsnowwolf|Mon Jul 1 12:46:23 2024 +0800|Merge branch 'master' of https://github.com/coolsnowwolf/packages
15bad1bd|coolsnowwolf|Mon Jul 1 12:46:16 2024 +0800|travelmate: bump version
d647e108|uparrows|Sat Jun 29 18:01:45 2024 +0800|docker: update all packages to 27.0.2 (#832)
e97da8ce|coolsnowwolf|Thu Jun 27 13:54:34 2024 +0800|cni-plugins-nft: fix dependence with OpenWrt v19.07
2a83a611|coolsnowwolf|Thu Jun 27 12:38:00 2024 +0800|Merge branch 'master' of https://github.com/coolsnowwolf/packages
7c8bd038|coolsnowwolf|Thu Jun 27 12:37:43 2024 +0800|wg-installer: add PKG_VERSION
e8ced3a2|coolsnowwolf|Wed Jun 26 10:48:59 2024 +0800|Merge pull request #829 from mitsukileung/patch-1
383a6ed8|coolsnowwolf|Tue Jun 25 12:17:45 2024 +0800|libjwt: add package
f3061661|coolsnowwolf|Sun Jun 23 02:25:21 2024 +0800|vsftpd: disable seccomp_sandbox
ad47e812|coolsnowwolf|Sat Jun 22 18:25:14 2024 +0800|ua2f: add package
3c99eef3|coolsnowwolf|Sat Jun 22 18:23:25 2024 +0800|ngrokc: add package
41c7faf5|mitsukileung|Fri Jun 21 03:48:37 2024 +0800|Update tailscale to  1.68.1
</details>
